Timestamp,Framerate,Active_Entities,Memory_MB,Active_Quadtree_Nodes
1771936956.457,9.52,0,0.000,1
1771936956.478,47.62,0,0.000,1
1771936956.495,58.82,0,0.000,1
1771936956.512,58.82,0,0.000,1
1771936956.528,62.50,0,0.000,1
1771936956.544,62.50,0,0.000,1
1771936956.560,62.50,0,0.000,1
1771936956.576,62.50,0,0.000,1
1771936956.593,58.82,0,0.000,1
1771936956.609,62.50,0,0.000,1
1771936956.626,58.82,0,0.000,1
1771936956.642,62.50,0,0.000,1
1771936956.658,62.50,0,0.000,1
1771936956.674,62.50,0,0.000,1
1771936956.690,62.50,0,0.000,1
1771936956.705,62.50,0,0.000,1
1771936956.723,58.82,0,0.000,1
1771936956.740,58.82,0,0.000,1
1771936956.757,58.82,0,0.000,1
1771936956.773,62.50,0,0.000,1
1771936956.789,62.50,0,0.000,1
1771936956.805,58.82,0,0.000,1
1771936956.823,58.82,0,0.000,1
1771936956.839,62.50,0,0.000,1
1771936956.855,62.50,0,0.000,1
1771936956.872,58.82,0,0.000,1
1771936956.888,62.50,0,0.000,1
1771936956.904,62.50,0,0.000,1
1771936956.920,62.50,0,0.000,1
1771936956.937,58.82,0,0.000,1
1771936956.953,62.50,0,0.000,1
1771936956.969,62.50,0,0.000,1
1771936956.986,58.82,0,0.000,1
1771936957.002,62.50,0,0.000,1
1771936957.019,58.82,0,0.000,1
1771936957.036,58.82,0,0.000,1
1771936957.053,58.82,0,0.000,1
1771936957.069,58.82,0,0.000,1
1771936957.086,62.50,0,0.000,1
1771936957.103,58.82,0,0.000,1
1771936957.123,47.62,0,0.000,1
1771936957.140,62.50,0,0.000,1
1771936957.156,62.50,0,0.000,1
1771936957.173,58.82,0,0.000,1
1771936957.189,62.50,0,0.000,1
1771936957.205,62.50,0,0.000,1
1771936957.222,58.82,0,0.000,1
1771936957.238,58.82,0,0.000,1
1771936957.255,62.50,0,0.000,1
1771936957.272,58.82,0,0.000,1
1771936957.288,58.82,0,0.000,1
1771936957.306,58.82,0,0.000,1
1771936957.322,58.82,0,0.000,1
1771936957.340,58.82,0,0.000,1
1771936957.357,58.82,0,0.000,1
1771936957.373,62.50,0,0.000,1
1771936957.389,62.50,0,0.000,1
1771936957.405,58.82,0,0.000,1
1771936957.422,62.50,0,0.000,1
1771936957.438,62.50,0,0.000,1
1771936957.454,58.82,0,0.000,1
1771936957.471,62.50,0,0.000,1
1771936957.487,62.50,0,0.000,1
1771936957.503,62.50,0,0.000,1
1771936957.519,62.50,0,0.000,1
1771936957.535,62.50,0,0.000,1
1771936957.551,62.50,0,0.000,1
1771936957.568,58.82,0,0.000,1
1771936957.584,62.50,0,0.000,1
1771936957.600,62.50,0,0.000,1
1771936957.617,58.82,0,0.000,1
1771936957.634,58.82,0,0.000,1
1771936957.650,62.50,0,0.000,1
1771936957.667,58.82,0,0.000,1
1771936957.684,58.82,0,0.000,1
1771936957.700,62.50,0,0.000,1
1771936957.716,62.50,0,0.000,1
1771936957.732,62.50,0,0.000,1
1771936957.748,62.50,0,0.000,1
1771936957.765,58.82,0,0.000,1
1771936957.782,58.82,0,0.000,1
1771936957.798,58.82,0,0.000,1
1771936957.816,58.82,0,0.000,1
1771936957.832,62.50,0,0.000,1
1771936957.848,62.50,0,0.000,1
1771936957.865,58.82,0,0.000,1
1771936957.881,62.50,0,0.000,1
1771936957.897,62.50,0,0.000,1
1771936957.913,62.50,0,0.000,1
1771936957.929,62.50,0,0.000,1
1771936957.946,58.82,0,0.000,1
1771936957.962,62.50,0,0.000,1
1771936957.978,62.50,0,0.000,1
1771936957.994,62.50,0,0.000,1
1771936958.011,58.82,0,0.000,1
1771936958.027,58.82,0,0.000,1
1771936958.044,62.50,0,0.000,1
1771936958.060,62.50,0,0.000,1
1771936958.076,62.50,0,0.000,1
1771936958.091,62.50,0,0.000,1
1771936958.109,58.82,0,0.000,1
1771936958.125,62.50,0,0.000,1
1771936958.142,58.82,0,0.000,1
1771936958.158,62.50,0,0.000,1
1771936958.174,58.82,0,0.000,1
1771936958.191,58.82,0,0.000,1
1771936958.208,62.50,0,0.000,1
1771936958.224,62.50,0,0.000,1
1771936958.241,55.56,0,0.000,1
1771936958.259,58.82,0,0.000,1
1771936958.275,62.50,0,0.000,1
1771936958.291,58.82,0,0.000,1
1771936958.308,62.50,0,0.000,1
1771936958.324,62.50,0,0.000,1
1771936958.340,62.50,0,0.000,1
1771936958.357,58.82,0,0.000,1
1771936958.374,58.82,0,0.000,1
1771936958.390,62.50,0,0.000,1
1771936958.406,62.50,0,0.000,1
1771936958.422,62.50,0,0.000,1
1771936958.438,62.50,0,0.000,1
1771936958.454,58.82,0,0.000,1
1771936958.471,62.50,0,0.000,1
1771936958.487,62.50,0,0.000,1
1771936958.503,62.50,0,0.000,1
1771936958.519,62.50,0,0.000,1
1771936958.535,62.50,0,0.000,1
1771936958.551,62.50,0,0.000,1
1771936958.568,58.82,0,0.000,1
1771936958.584,62.50,0,0.000,1
1771936958.600,58.82,0,0.000,1
1771936958.617,62.50,0,0.000,1
1771936958.634,58.82,0,0.000,1
1771936958.650,62.50,0,0.000,1
1771936958.666,62.50,0,0.000,1
1771936958.682,62.50,0,0.000,1
1771936958.699,58.82,0,0.000,1
1771936958.716,58.82,0,0.000,1
1771936958.733,58.82,0,0.000,1
1771936958.749,62.50,0,0.000,1
1771936958.765,62.50,0,0.000,1
1771936958.781,62.50,0,0.000,1
1771936958.797,62.50,0,0.000,1
1771936958.814,58.82,0,0.000,1
1771936958.830,62.50,0,0.000,1
1771936958.846,62.50,0,0.000,1
1771936958.865,52.63,0,0.000,1
1771936958.881,62.50,0,0.000,1
1771936958.897,62.50,0,0.000,1
1771936958.913,58.82,0,0.000,1
1771936958.930,62.50,0,0.000,1
1771936958.947,58.82,0,0.000,1
1771936958.963,62.50,0,0.000,1
1771936958.980,58.82,0,0.000,1
1771936958.996,62.50,0,0.000,1
1771936959.013,58.82,0,0.000,1
1771936959.029,62.50,0,0.000,1
1771936959.045,62.50,0,0.000,1
1771936959.061,58.82,0,0.000,1
1771936959.078,62.50,0,0.000,1
1771936959.094,62.50,0,0.000,1
1771936959.110,58.82,0,0.000,1
1771936959.127,62.50,0,0.000,1
1771936959.142,62.50,0,0.000,1
1771936959.159,58.82,0,0.000,1
1771936959.175,62.50,0,0.000,1
1771936959.192,58.82,0,0.000,1
1771936959.209,58.82,0,0.000,1
1771936959.226,62.50,0,0.000,1
1771936959.242,62.50,0,0.000,1
1771936959.260,55.56,0,0.000,1
1771936959.276,62.50,0,0.000,1
1771936959.292,62.50,0,0.000,1
1771936959.308,62.50,0,0.000,1
1771936959.324,62.50,0,0.000,1
1771936959.341,58.82,0,0.000,1
1771936959.358,58.82,0,0.000,1
1771936959.374,62.50,0,0.000,1
1771936959.390,62.50,0,0.000,1
1771936959.406,62.50,0,0.000,1
1771936959.422,62.50,0,0.000,1
1771936959.438,62.50,0,0.000,1
1771936959.455,58.82,0,0.000,1
1771936959.471,62.50,0,0.000,1
1771936959.487,62.50,0,0.000,1
1771936959.504,58.82,0,0.000,1
1771936959.520,62.50,0,0.000,1
1771936959.541,47.62,0,0.000,1
1771936959.557,62.50,0,0.000,1
1771936959.573,62.50,0,0.000,1
1771936959.588,62.50,0,0.000,1
1771936959.605,62.50,0,0.000,1
1771936959.621,62.50,0,0.000,1
1771936959.637,62.50,0,0.000,1
1771936959.654,58.82,0,0.000,1
1771936959.670,62.50,0,0.000,1
1771936959.687,58.82,0,0.000,1
1771936959.703,62.50,0,0.000,1
1771936959.719,62.50,0,0.000,1
1771936959.735,62.50,0,0.000,1
1771936959.752,58.82,0,0.000,1
1771936959.768,62.50,0,0.000,1
1771936959.784,58.82,0,0.000,1
1771936959.801,62.50,0,0.000,1
1771936959.817,62.50,0,0.000,1
1771936959.833,62.50,0,0.000,1
1771936959.849,62.50,0,0.000,1
1771936959.866,58.82,0,0.000,1
1771936959.882,62.50,0,0.000,1
1771936959.898,58.82,0,0.000,1
1771936959.915,58.82,0,0.000,1
1771936959.933,58.82,0,0.000,1
1771936959.950,58.82,0,0.000,1
1771936959.967,58.82,0,0.000,1
1771936959.983,62.50,0,0.000,1
1771936960.000,58.82,0,0.000,1
1771936960.016,58.82,0,0.000,1
1771936960.034,58.82,0,0.000,1
1771936960.050,62.50,0,0.000,1
1771936960.066,58.82,0,0.000,1
1771936960.083,62.50,0,0.000,1
1771936960.100,58.82,0,0.000,1
1771936960.116,62.50,0,0.000,1
1771936960.132,62.50,0,0.000,1
1771936960.148,62.50,0,0.000,1
1771936960.165,58.82,0,0.000,1
1771936960.182,58.82,0,0.000,1
1771936960.199,58.82,0,0.000,1
1771936960.216,58.82,0,0.000,1
1771936960.233,58.82,0,0.000,1
1771936960.250,58.82,0,0.000,1
1771936960.266,62.50,0,0.000,1
1771936960.283,58.82,0,0.000,1
1771936960.299,62.50,0,0.000,1
1771936960.315,62.50,0,0.000,1
1771936960.332,58.82,0,0.000,1
1771936960.348,58.82,0,0.000,1
1771936960.365,62.50,0,0.000,1
1771936960.381,62.50,0,0.000,1
1771936960.397,62.50,0,0.000,1
1771936960.413,62.50,0,0.000,1
1771936960.429,62.50,0,0.000,1
1771936960.445,62.50,0,0.000,1
1771936960.461,58.82,0,0.000,1
1771936960.478,62.50,0,0.000,1
1771936960.494,62.50,0,0.000,1
1771936960.511,58.82,0,0.000,1
1771936960.528,58.82,0,0.000,1
1771936960.544,62.50,0,0.000,1
1771936960.560,62.50,0,0.000,1
1771936960.576,62.50,0,0.000,1
1771936960.592,62.50,0,0.000,1
1771936960.608,62.50,0,0.000,1
1771936960.625,55.56,0,0.000,1
1771936960.642,62.50,0,0.000,1
1771936960.660,55.56,0,0.000,1
1771936960.676,58.82,0,0.000,1
1771936960.694,58.82,0,0.000,1
1771936960.711,58.82,0,0.000,1
1771936960.728,58.82,0,0.000,1
1771936960.744,62.50,0,0.000,1
1771936960.759,62.50,0,0.000,1
1771936960.776,62.50,0,0.000,1
1771936960.792,62.50,0,0.000,1
1771936960.808,62.50,0,0.000,1
1771936960.824,62.50,0,0.000,1
1771936960.841,58.82,0,0.000,1
1771936960.858,58.82,0,0.000,1
1771936960.873,62.50,0,0.000,1
1771936960.890,62.50,0,0.000,1
1771936960.906,62.50,0,0.000,1
1771936960.922,58.82,0,0.000,1
1771936960.939,62.50,0,0.000,1
1771936960.955,58.82,0,0.000,1
1771936960.972,62.50,0,0.000,1
1771936960.988,58.82,0,0.000,1
1771936961.006,58.82,0,0.000,1
1771936961.022,58.82,0,0.000,1
1771936961.039,58.82,0,0.000,1
1771936961.056,62.50,0,0.000,1
1771936961.072,62.50,0,0.000,1
1771936961.089,58.82,0,0.000,1
1771936961.105,58.82,0,0.000,1
1771936961.122,58.82,0,0.000,1
1771936961.139,58.82,0,0.000,1
1771936961.156,62.50,0,0.000,1
1771936961.173,58.82,0,0.000,1
1771936961.190,58.82,0,0.000,1
1771936961.207,58.82,0,0.000,1
1771936961.223,58.82,0,0.000,1
1771936961.242,55.56,0,0.000,1
1771936961.263,45.45,0,0.000,1
1771936961.280,58.82,0,0.000,1
1771936961.297,62.50,0,0.000,1
1771936961.313,62.50,0,0.000,1
1771936961.329,62.50,0,0.000,1
1771936961.345,62.50,0,0.000,1
1771936961.361,58.82,0,0.000,1
1771936961.378,62.50,0,0.000,1
1771936961.394,62.50,0,0.000,1
1771936961.410,62.50,0,0.000,1
1771936961.426,62.50,0,0.000,1
1771936961.442,62.50,0,0.000,1
1771936961.459,58.82,0,0.000,1
1771936961.475,58.82,0,0.000,1
1771936961.493,58.82,0,0.000,1
1771936961.509,62.50,0,0.000,1
1771936961.526,58.82,0,0.000,1
1771936961.542,62.50,0,0.000,1
1771936961.558,62.50,0,0.000,1
1771936961.574,62.50,0,0.000,1
1771936961.590,62.50,0,0.000,1
1771936961.606,62.50,0,0.000,1
1771936961.622,58.82,0,0.000,1
1771936961.640,58.82,0,0.000,1
1771936961.656,62.50,0,0.000,1
1771936961.673,58.82,0,0.000,1
1771936961.690,58.82,0,0.000,1
1771936961.706,62.50,0,0.000,1
1771936961.722,62.50,0,0.000,1
1771936961.738,58.82,0,0.000,1
1771936961.755,58.82,0,0.000,1
1771936961.772,58.82,0,0.000,1
1771936961.789,62.50,0,0.000,1
1771936961.805,58.82,0,0.000,1
1771936961.822,62.50,0,0.000,1
1771936961.838,62.50,0,0.000,1
1771936961.854,62.50,0,0.000,1
1771936961.871,58.82,0,0.000,1
1771936961.887,62.50,0,0.000,1
1771936961.904,58.82,0,0.000,1
1771936961.920,62.50,0,0.000,1
1771936961.936,62.50,0,0.000,1
1771936961.953,58.82,0,0.000,1
1771936961.970,58.82,0,0.000,1
1771936961.986,62.50,0,0.000,1
1771936962.003,58.82,0,0.000,1
1771936962.020,58.82,0,0.000,1
1771936962.036,62.50,0,0.000,1
1771936962.052,62.50,0,0.000,1
1771936962.068,62.50,0,0.000,1
1771936962.084,62.50,0,0.000,1
1771936962.100,62.50,0,0.000,1
1771936962.116,62.50,0,0.000,1
1771936962.133,58.82,0,0.000,1
1771936962.150,58.82,0,0.000,1
1771936962.166,58.82,0,0.000,1
1771936962.183,62.50,0,0.000,1
1771936962.199,62.50,0,0.000,1
1771936962.215,62.50,0,0.000,1
1771936962.231,62.50,0,0.000,1
1771936962.248,58.82,0,0.000,1
1771936962.264,62.50,0,0.000,1
1771936962.280,62.50,0,0.000,1
1771936962.296,62.50,0,0.000,1
1771936962.313,58.82,0,0.000,1
1771936962.329,62.50,0,0.000,1
1771936962.345,62.50,0,0.000,1
1771936962.361,58.82,0,0.000,1
1771936962.378,62.50,0,0.000,1
1771936962.395,58.82,0,0.000,1
1771936962.411,58.82,0,0.000,1
1771936962.428,58.82,0,0.000,1
1771936962.446,58.82,0,0.000,1
1771936962.463,58.82,0,0.000,1
1771936962.479,62.50,0,0.000,1
1771936962.499,50.00,0,0.000,1
1771936962.515,62.50,0,0.000,1
1771936962.531,62.50,0,0.000,1
1771936962.547,62.50,0,0.000,1
1771936962.564,58.82,0,0.000,1
1771936962.580,62.50,0,0.000,1
1771936962.596,58.82,0,0.000,1
1771936962.614,58.82,0,0.000,1
1771936962.630,62.50,0,0.000,1
1771936962.647,58.82,0,0.000,1
1771936962.667,50.00,0,0.000,1
1771936962.683,62.50,0,0.000,1
1771936962.700,58.82,0,0.000,1
1771936962.716,62.50,0,0.000,1
1771936962.732,62.50,0,0.000,1
1771936962.749,58.82,0,0.000,1
1771936962.766,58.82,0,0.000,1
1771936962.783,58.82,0,0.000,1
1771936962.799,58.82,0,0.000,1
1771936962.816,58.82,0,0.000,1
1771936962.833,58.82,0,0.000,1
1771936962.850,62.50,0,0.000,1
1771936962.866,62.50,0,0.000,1
1771936962.883,58.82,0,0.000,1
1771936962.900,58.82,0,0.000,1
1771936962.916,62.50,0,0.000,1
1771936962.932,62.50,0,0.000,1
1771936962.951,52.63,0,0.000,1
1771936962.967,62.50,0,0.000,1
1771936962.983,62.50,0,0.000,1
1771936963.000,58.82,0,0.000,1
1771936963.017,58.82,0,0.000,1
1771936963.033,62.50,0,0.000,1
1771936963.049,62.50,0,0.000,1
1771936963.065,62.50,0,0.000,1
1771936963.081,62.50,0,0.000,1
1771936963.099,55.56,0,0.000,1
1771936963.115,62.50,0,0.000,1
1771936963.131,58.82,0,0.000,1
1771936963.148,62.50,0,0.000,1
1771936963.165,58.82,0,0.000,1
1771936963.182,58.82,0,0.000,1
1771936963.198,62.50,0,0.000,1
1771936963.214,62.50,0,0.000,1
1771936963.230,58.82,0,0.000,1
1771936963.248,58.82,0,0.000,1
1771936963.264,62.50,0,0.000,1
1771936963.282,55.56,0,0.000,1
1771936963.298,58.82,0,0.000,1
1771936963.315,58.82,0,0.000,1
1771936963.333,58.82,0,0.000,1
1771936963.349,62.50,0,0.000,1
1771936963.368,52.63,0,0.000,1
1771936963.385,58.82,0,0.000,1
1771936963.401,62.50,0,0.000,1
1771936963.418,58.82,0,0.000,1
1771936963.435,58.82,0,0.000,1
1771936963.451,62.50,0,0.000,1
1771936963.467,62.50,0,0.000,1
1771936963.483,62.50,0,0.000,1
1771936963.498,62.50,0,0.000,1
1771936963.515,62.50,0,0.000,1
1771936963.531,62.50,0,0.000,1
1771936963.547,62.50,0,0.000,1
1771936963.567,50.00,0,0.000,1
1771936963.583,62.50,0,0.000,1
1771936963.599,62.50,0,0.000,1
1771936963.616,58.82,0,0.000,1
1771936963.633,58.82,0,0.000,1
1771936963.649,58.82,0,0.000,1
1771936963.667,58.82,0,0.000,1
1771936963.683,62.50,0,0.000,1
1771936963.699,62.50,0,0.000,1
1771936963.715,62.50,0,0.000,1
1771936963.731,62.50,0,0.000,1
